,put_price,std,ste,black_scholes_put
Granularity,,,,
100,7.030922612015483,8.174395089780559,0.25849706977803155,7.302107261067341
200,7.102258025626197,8.22100789130673,0.2599710959874723,7.302107261067341
300,7.4257919355774895,8.112725137742446,0.2565468946616938,7.302107261067341
400,7.085142349842159,8.072851946353081,0.2552859936379917,7.302107261067341
500,7.144773806818424,8.153269519763633,0.25782902059680307,7.302107261067341
600,7.015795320054836,8.117139092485564,0.25668647616646534,7.302107261067341
700,7.239898013361833,8.17897955532881,0.258642043307902,7.302107261067341
800,7.396021717825754,8.26767024646415,0.26144668922032377,7.302107261067341
900,7.344200444095713,8.326481634882422,0.2633064686179097,7.302107261067341
1000,7.075056430977989,8.399202610517504,0.26560610778467436,7.302107261067341
1100,7.52422302645338,8.346907288040697,0.2639523844846773,7.302107261067341
1200,7.930328471631607,8.513104207915381,0.2692079925537624,7.302107261067341
1300,7.583064960272532,8.21798768255636,0.2598755886008689,7.302107261067341
1400,7.7426622740953315,8.68210122550284,0.2745521474872814,7.302107261067341
1500,7.412882588004996,8.341659160767485,0.2637864241283393,7.302107261067341
1600,7.100089785579229,8.296156507041614,0.2623475038747823,7.302107261067341
1700,7.214891016895527,8.140787024711068,0.2574342894443242,7.302107261067341
1800,7.2293353510605645,8.197859626239433,0.2592390835725326,7.302107261067341
1900,7.079729158297342,8.172847911317092,0.2584481436991184,7.302107261067341
2000,7.587181717691281,8.308949874780382,0.26275206568476855,7.302107261067341
2100,6.9410058936110275,8.238639139087562,0.2605286449972545,7.302107261067341
2200,7.13847374842278,8.444823345510452,0.26704876209576095,7.302107261067341
2300,8.053349616942029,8.675918297475565,0.2743566261355306,7.302107261067341
2400,7.223384036022026,8.082716805728479,0.25559794788222695,7.302107261067341
2500,7.368901224004279,8.145620275249955,0.2575871302463754,7.302107261067341
2600,7.422431059110622,8.292357961931252,0.26222738333134593,7.302107261067341
2700,7.188566533086897,8.275938600810175,0.26170815754267174,7.302107261067341
2800,7.641924988838245,8.46072516370989,0.2675516217402424,7.302107261067341
2900,7.801605637404391,8.705846513850702,0.2753030394360484,7.302107261067341
3000,7.5060578559580655,8.241393044672915,0.2606157311383622,7.302107261067341
3100,7.2528412147433645,8.655927094848714,0.27372444880086266,7.302107261067341
3200,7.408364007083929,8.403810266349355,0.2657518146557024,7.302107261067341
3300,7.1461616950695275,8.124254760339301,0.25691149334137586,7.302107261067341
3400,7.604129124698986,8.60751737247261,0.27219359896481365,7.302107261067341
3500,7.536327875383515,8.378397744425511,0.2649482001520193,7.302107261067341
3600,6.928268663737454,8.17871746095663,0.258633755156122,7.302107261067341
3700,7.3754739122337165,8.232116612985998,0.26032238461146606,7.302107261067341
3800,7.198425590336394,8.415213137068772,0.26611240508908046,7.302107261067341
3900,7.4861592414582105,8.22502530731878,0.2600981378365374,7.302107261067341
4000,7.87712469748979,8.49217652809806,0.26854620121010764,7.302107261067341
4100,7.58215360832,8.344644365398779,0.263880824587505,7.302107261067341
4200,7.182864369710897,8.208692527645695,0.2595816499936509,7.302107261067341
4300,7.452178054910335,8.277800523515712,0.2617670367084385,7.302107261067341
4400,7.306478059772897,8.040928154026043,0.2542764746849552,7.302107261067341
4500,7.732069001789629,8.67676658637938,0.2743834513860296,7.302107261067341
4600,7.075067449346218,8.181050630772383,0.25870753646397937,7.302107261067341
4700,7.4711778886678655,8.258957464673859,0.2611711668681902,7.302107261067341
4800,7.0249642949717,8.287481633724235,0.26207318029381893,7.302107261067341
4900,7.596862880889595,8.504056695820196,0.2689218850999753,7.302107261067341
5000,7.54331753730747,8.205036858058921,0.2594660475709788,7.302107261067341
5100,7.119921303313118,8.02702684836794,0.25383687680165734,7.302107261067341
5200,7.31125899529975,8.399112988092023,0.2656032736747349,7.302107261067341
5300,7.085838082046792,8.587953882436892,0.27157494708986485,7.302107261067341
5400,7.437150027776213,8.422164632718378,0.2663322306830555,7.302107261067341
5500,7.313564331611112,8.249814494655688,0.2608820407698297,7.302107261067341
5600,7.197534747161938,8.376185725605056,0.26487824997502135,7.302107261067341
5700,7.387119121465269,8.338271265820982,0.26367928948329605,7.302107261067341
5800,7.38716093244399,8.270545457097603,0.26153761136386827,7.302107261067341
5900,7.033908869533664,7.986589411866693,0.2525581327808336,7.302107261067341
6000,7.50918357476014,8.209564175606374,0.2596092139223868,7.302107261067341
6100,6.944197625861536,8.245798929662344,0.2607550574551156,7.302107261067341
6200,7.003201875811785,8.257510913479626,0.2611254229029321,7.302107261067341
6300,7.3181764169182735,8.287590615922477,0.2620766266135275,7.302107261067341
6400,7.149609243483541,8.210448264014644,0.2596371712526176,7.302107261067341
6500,7.6747737303181225,8.399461128057027,0.26561428282707433,7.302107261067341
6600,7.242012199310371,8.435725811661335,0.2667610728152241,7.302107261067341
6700,7.348022206451957,8.387459636564431,0.265234762342717,7.302107261067341
6800,7.49819469814071,8.209358463348709,0.2596027087296184,7.302107261067341
6900,7.461169979645242,8.383141378433372,0.26509820703053005,7.302107261067341
7000,7.791163366959323,8.51187330600805,0.2691690680177283,7.302107261067341
7100,7.612208767171893,8.242796679438657,0.2606601179669896,7.302107261067341
7200,7.460994013806476,8.165513742097952,0.2582162169043426,7.302107261067341
7300,7.937188334526344,8.739793659491308,0.27637654243890614,7.302107261067341
7400,7.068898469594875,8.310271469986878,0.26279385819474144,7.302107261067341
7500,6.8135144770759695,7.85057064745301,0.24825684178014262,7.302107261067341
7600,7.32856347844189,8.17766291117659,0.25860040736401246,7.302107261067341
7700,6.98610436979535,8.016322965093037,0.25349839029208454,7.302107261067341
7800,7.381622009490516,8.390444614516824,0.26532915563366644,7.302107261067341
7900,7.452359368429816,8.27687205139838,0.26173767584209123,7.302107261067341
8000,7.636182223924842,8.302981177545464,0.26256331890550566,7.302107261067341
8100,7.227612587789139,8.554692211370362,0.2705231206963293,7.302107261067341
8200,7.24343392967546,8.14146806902674,0.2574558259565745,7.302107261067341
8300,7.326425485735877,8.406468707993595,0.26583588196192687,7.302107261067341
8400,6.851660075094088,7.947555189717625,0.2513237622939931,7.302107261067341
8500,7.465378434979297,8.262628642395063,0.2612872597011329,7.302107261067341
8600,7.943120166387894,8.567782864988835,0.27093708351127627,7.302107261067341
8700,7.215184341741273,8.170522205073071,0.2583745984101226,7.302107261067341
8800,7.515491258494768,8.364686256284582,0.2645146048256621,7.302107261067341
8900,7.262477775301695,8.353032124855494,0.2641460688309934,7.302107261067341
9000,7.233806857480067,8.241919844030953,0.26063238999677535,7.302107261067341
9100,7.683673321051017,8.349322477202588,0.26402875947199456,7.302107261067341
9200,6.909893811607617,8.005802973275976,0.2531657189410021,7.302107261067341
9300,7.163924066174882,8.154304116676085,0.25786173742383833,7.302107261067341
9400,7.42711815603696,8.41717493696648,0.2661744426489829,7.302107261067341
9500,7.617696731047874,8.469782791893659,0.2678380490928388,7.302107261067341
9600,7.234008031725588,8.169046901988382,0.2583279452302557,7.302107261067341
9700,7.290515993247182,8.522219344231921,0.2694962384731942,7.302107261067341
9800,7.090656875260977,8.129624138331744,0.2570812879821209,7.302107261067341
9900,7.348612063719891,8.105834633444243,0.25632899778359874,7.302107261067341
